"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Ke'Bryan Hayes","Pirates","28.9%","68.5%","44.1%","65.2%","96.1%","83.6%","38.4%","55.8%","7.2%","18577"
"Tony Wolters","Rockies","28.9%","61.0%","43.4%","49.2%","87.7%","73.7%","45.4%","51.4%","11.4%","11470"
"Hunter Renfroe","Rays","28.9%","60.2%","41.6%","59.2%","79.9%","71.3%","40.5%","66.9%","11.9%","15464"
"JaCoby Jones","Tigers","28.9%","58.4%","40.8%","51.9%","81.5%","69.0%","40.4%","59.3%","12.7%","14818"
"DJ LeMahieu","Yankees","28.9%","63.4%","44.1%","82.1%","94.4%","89.9%","44.1%","65.3%","4.5%","9874"
"Carter Kieboom","Nationals","29.0%","68.8%","44.4%","54.7%","90.9%","76.5%","38.8%","68.9%","10.4%","19958"
"Yoan Moncada","White Sox","29.0%","65.4%","42.7%","53.1%","86.8%","72.6%","37.7%","56.7%","11.7%","17232"
"Alex Verdugo","Red Sox","29.0%","61.0%","42.7%","71.2%","91.3%","83.5%","42.8%","52.9%","7.0%","17027"
"Josh Rojas","Diamondbacks","29.0%","62.2%","43.8%","59.2%","85.7%","75.9%","44.4%","57.1%","10.5%","19734"
"Trea Turner","Nationals","29.0%","71.9%","46.9%","68.6%","88.3%","81.2%","41.6%","64.5%","8.8%","16252"
"Luis Urias","Brewers","29.1%","56.7%","40.6%","74.4%","87.0%","81.7%","41.9%","60.8%","7.4%","16622"
"Tommy Edman","Cardinals","29.2%","61.2%","42.5%","69.8%","90.2%","82.0%","41.7%","61.7%","7.6%","19470"
"Luis Arraez","Twins","29.2%","68.0%","44.3%","87.9%","94.9%","92.1%","39.1%","57.0%","3.5%","18568"
"Kevin Newman","Pirates","29.2%","62.1%","43.4%","73.6%","94.9%","86.8%","43.1%","64.5%","5.7%","17696"
"Nick Solak","Rangers","29.2%","63.5%","43.8%","66.7%","91.7%","82.1%","42.6%","66.5%","7.8%","19294"
"Ryan McMahon","Rockies","29.2%","70.2%","46.8%","48.6%","79.9%","68.8%","43.0%","58.0%","14.6%","15112"
"Willy Adames","Rays","29.2%","70.9%","46.2%","48.3%","73.2%","63.9%","40.8%","62.4%","16.7%","15986"
"Fernando Tatis Jr.","Padres","29.6%","71.5%","46.7%","63.0%","79.2%","73.1%","40.8%","62.3%","12.6%","19709"
"Todd Frazier","- - -","29.6%","64.7%","43.5%","63.3%","85.2%","76.2%","39.6%","58.7%","10.3%","785"
"Roman Quinn","Phillies","29.7%","69.3%","49.3%","36.8%","85.9%","71.0%","49.6%","57.8%","14.3%","13546"
"Evan Longoria","Giants","29.7%","65.0%","45.0%","62.7%","90.6%","80.1%","43.2%","58.4%","8.9%","9368"
"Jake Lamb","- - -","29.7%","64.5%","43.6%","61.0%","83.8%","74.5%","39.9%","51.5%","11.1%","13329"
"Kyle Schwarber","Cubs","29.8%","62.6%","42.6%","63.8%","81.1%","73.7%","39.0%","52.2%","11.2%","16478"
"Mike Brosseau","Rays","29.9%","66.0%","44.8%","59.1%","72.8%","67.5%","41.4%","56.1%","14.6%","19683"
"Cody Bellinger","Dodgers","29.9%","72.1%","47.6%","71.4%","83.2%","78.9%","41.9%","54.7%","10.0%","15998"
"Jeimer Candelario","Tigers","29.9%","69.3%","44.8%","57.3%","86.9%","74.6%","37.8%","61.2%","11.4%","13621"
"Mitch Moreland","- - -","29.9%","73.6%","46.7%","53.8%","80.9%","70.1%","38.3%","57.9%","13.9%","3086"
"Marwin Gonzalez","Twins","30.0%","61.3%","42.8%","70.4%","86.6%","79.9%","40.9%","54.8%","8.6%","5497"
"Elvis Andrus","Rangers","30.0%","66.5%","46.1%","66.7%","90.1%","81.6%","44.2%","66.7%","8.5%","8709"
"Harrison Bader","Cardinals","30.0%","59.8%","42.0%","58.5%","88.8%","75.8%","40.0%","60.8%","10.2%","18030"
"Alec Bohm","Phillies","30.1%","72.0%","47.5%","57.8%","87.9%","76.8%","41.6%","63.9%","11.0%","21618"
"Matt Beaty","Dodgers","30.1%","71.4%","50.5%","53.6%","83.1%","74.2%","49.5%","63.0%","13.0%","17710"
"Tyler Flowers","Braves","30.2%","65.5%","45.1%","42.1%","79.1%","64.9%","42.4%","58.8%","15.9%","9134"
"Isiah Kiner-Falefa","Rangers","30.2%","66.7%","47.4%","72.4%","93.3%","86.3%","47.3%","61.0%","6.5%","16512"
"Adam Haseley","Phillies","30.2%","61.9%","42.8%","73.1%","95.6%","86.1%","39.8%","53.3%","6.0%","19878"
"Shed Long","Mariners","30.2%","62.7%","44.6%","46.4%","77.5%","65.8%","44.2%","51.6%","15.3%","16542"
"Josh VanMeter","- - -","30.3%","56.3%","40.9%","52.5%","85.5%","71.1%","40.9%","58.2%","11.8%","15170"
"Kris Bryant","Cubs","30.3%","73.3%","47.5%","53.2%","84.1%","72.3%","40.0%","57.8%","13.2%","15429"
"James McCann","White Sox","30.5%","68.7%","47.0%","56.4%","85.8%","75.0%","43.2%","58.6%","11.8%","12859"
"Josh Bell","Pirates","30.5%","71.9%","46.0%","58.5%","77.0%","69.3%","37.3%","49.3%","14.1%","13145"
"Trevor Story","Rockies","30.6%","67.7%","45.8%","67.4%","82.9%","76.8%","40.9%","54.1%","10.6%","12564"
